genus,new_taxon
Alectroenas payandeei,Alectroenas
Alopecoenas ferrugineus,Alopecoenas
Alopecoenas norfolkensis,Alopecoenas
Alopochen mauritiana,Alopochen
Automolus exsertus,Automolus
Bermuteo avivorus,Bermuteo
Bucco noanamae,Bucco
Calliope tschebaiewi,Calliope
Campylopterus calcirupicola,Campylopterus
Celeus ochraceus,Celeus
Cercomacroides fuscicauda,Cercomacra
Cinnyris gertrudis,Cinnyris
Colaptes oceanicus,Colaptes
Columba thiriouxi,Columba
Cyornis pelingensis,Cyornis
Cyornis sumatrensis,Cyornis
Dicrurus atactus,Dicrurus
Dicrurus occidentalis,Dicrurus
Dinopium psarodes,Dinopium
Eclectus infectus,Eclectus
Emberiza calandra,Miliaria
Hierococcyx bocki,Hierococcyx
Ianthocincla woodi,Pterorhinus
Leistes bellicosus,Leistes
Lophopsittacus mauritianus,Lophopsittacus
Mareca marecula,Mareca
Megapodius forsteni,Megapodius
Megapomatorhinus erythrocnemis,Erythrogenys
Megascops gilesi,Megascops
Melanitta stejnegeri,Melanitta
Myrmothera subcanescens,Myrmothera
Myzomela irianawidodoae,Myzomela
Necopsittacus rodricanus,Necropsittacus
Nesoenas cicur,Nesoenas
Nesoenas duboisi,Nesoenas
Nesoenas rodericanus,Nesoenas
Nyctanassa carcinocatactes,Nyctanassa
Nycticorax duboisi,Nycticorax
Nycticorax mauritianus,Nycticorax
Nycticorax megacephalus,Nycticorax
Ortalis araucuan,Ortalis
Ortalis columbiana,Ortalis
Ortalis squamata,Ortalis
Otus siaoensis,Otus
Otus sulaensis,Otus
Passer zarudnyi,Passer
Phylloscopus intensior,Phylloscopus
Phylloscopus rotiensis,Phylloscopus
Pica asirensis,Pica
Pica bottanensis,Pica
Poospiza nigrorufa,Poospiza
Psilopogon auricularis,Psilopogon
Psittacara labati,Psittacara
Psittacara maugei,Psittacara
Pycnonotus snouckaerti,Pycnonotus
Rhipidura sulaensis,Rhipidura
Schiffornis olivacea,Schiffornis
Setopagis heterura,Setopagis
Systellura decussata,Systellura
Treron axillaris,Treron
Treron griveaudi,Treron
Tyto deroepstorffi,Tyto
Urochroa leucura,Urochroa
Zosterops eurycricotus,Zosterops
