fam_name, ott_id, broken_taxon, mrca_of_descendents, in_synth_tree
Syntrophaceae,623136,T,mrcaott140429ott226723,Leaf
Dacryobolaceae,7525374,-,-,False
Hemiaulaceae,28080,-,-,False
Trichiidae,1092928,-,-,Leaf
Eubacteriaceae,16703,-,-,Leaf
Armatimonadaceae,257665,-,-,Leaf
Barrancaceae,5917694,-,-,Leaf
Dacrymycetaceae,234863,T,ott17233,Leaf
Pythiaceae,775742,-,-,False
Trichosporonaceae,4107405,-,-,Leaf
Sarcoscyphaceae,325802,-,-,Leaf
Protoperidiniaceae,283431,-,-,False
Cirratulidae,1067346,-,-,Leaf
Scotinosphaeraceae,5233922,-,-,Leaf
Colepidae,1063558,-,-,Leaf
Hibberdiaceae,756854,-,-,Leaf
Ruminococcaceae,761268,T,mrcaott184ott63791,Node
Vibrionaceae,181213,-,-,Leaf
Chromatiaceae,137782,T,mrcaott103ott1562,Node
Tetraplosphaeriaceae,798147,-,-,Leaf
Microthoracidae,1023410,-,-,Leaf
Gromiidae,962360,-,-,False
Heterophryidae,675699,-,-,Leaf
Gigartinaceae,999794,-,-,False
Fragilariaceae,173960,-,-,False
Karkinorhynchidae,752611,-,-,Leaf
Caliciaceae,339438,-,-,Leaf
Synchaetidae,743641,-,-,Leaf
Patulibacteraceae,761403,-,-,Leaf
Cryptococcaceae,6382507,-,-,False
Stokesiidae,373460,-,-,False
Phaeocystaceae,826969,-,-,False
Halteriidae,129116,-,-,False
Parvularculaceae,318336,-,-,Leaf
Crocinitomicaceae,5886384,-,-,False
Saprospiraceae,35,-,-,Leaf
Euzebyaceae,1027631,-,-,Leaf
Erythrobasidiaceae,480040,-,-,Leaf
Hyphomonadaceae,101508,-,-,Leaf
Spizellomycetaceae,110110,-,-,Leaf
Koliellaceae,4734292,-,-,Leaf
Ericaceae,66730,-,-,Leaf
Cymatosiraceae,549290,-,-,False
Bicosoecidae,733747,-,-,Leaf
Gemmataceae,5996314,-,-,Leaf
Hydruraceae,884650,-,-,False
Dictyotaceae,48625,-,-,Leaf
Crepidotaceae,493755,-,-,False
Spirofilidae,311153,-,-,False
Pseudocohnilembidae,702781,-,-,False
Chaetosphaeriaceae,737940,-,-,Leaf
Lipomycetaceae,834206,-,-,Leaf
Diatrypaceae,183729,-,-,Leaf
Peritromidae,683084,-,-,False
Paenibacillaceae,68433,-,-,Leaf
Thermoactinomycetaceae,68435,-,-,Leaf
Thermoleophilaceae,419158,-,-,Leaf
Nitrososphaeraceae,686307,-,-,Leaf
Pyrenomonadaceae,1017387,-,-,False
Aphelenchoididae,1002126,-,-,Leaf
Chlorodendraceae,542100,-,-,Leaf
Paramoebidae,577069,-,-,False
Apolemiidae,536356,-,-,Leaf
Micrococcaceae,146214,-,-,Leaf
Moritellaceae,1039356,-,-,Leaf
Corynesporascaceae,4081755,-,-,Leaf
Batrachospermaceae,629576,-,-,False
Mesodiniidae,182636,-,-,Leaf
Eunicidae,260033,T,mrcaott42379ott113093,Leaf
Amniculicolaceae,866116,-,-,Leaf
Parviterribacteraceae,5885966,-,-,Leaf
Pinnulariaceae,548614,-,-,False
Ectothiorhodospiraceae,191367,T,mrcaott1562ott6385,Node
Capitellidae,966425,-,-,Leaf
Ulvaceae,951301,-,-,Leaf
Alteromonadaceae,191371,T,mrcaott103ott1093,Node
Endogonaceae,837859,-,-,Leaf
Taphrinaceae,698727,-,-,Leaf
Debaryomycetaceae,691987,-,-,Leaf
Amphisphaeriaceae,550724,T,ott565288,Node
Aeromonadaceae,160603,T,ott767314,Leaf
Nordiidae,352944,-,-,Leaf
Oikopleuridae,9994,-,-,Leaf
Paludibacteraceae,7008054,-,-,False
Dinobryaceae,554980,-,-,False
Mytilinidiaceae,898961,-,-,Leaf
Protosteliaceae,502081,-,-,False
Helicobacteraceae,1033801,T,mrcaott8800ott405457,Node
Apiaceae,372831,-,-,Leaf
Centritractaceae,1004454,-,-,False
Chaetopteridae,466487,-,-,Leaf
Cuniculitremaceae,5260754,-,-,Leaf
Woodruffiidae,581773,-,-,False
Periconiaceae,6377823,-,-,Leaf
Cocconeidaceae,498484,-,-,False
Diaporthaceae,660754,-,-,Leaf
Endomicrobiaceae,5890857,-,-,False
Geminibasidiaceae,4934488,-,-,Leaf
Coccomyxaceae,967443,-,-,False
Bacteriovoracaceae,647484,-,-,Leaf
Porticoccaceae,5587897,-,-,False
Hyaloscyphaceae,1047456,T,ott51652,Node
Sarcosomataceae,598523,-,-,Leaf
Mopaliidae,837691,T,ott161967,Leaf
Filobasidiaceae,611414,-,-,Leaf
Kallymeniaceae,360131,-,-,False
Hypocreaceae,728370,T,ott971709,Node
Monoblepharidaceae,305127,-,-,Leaf
Protomycetaceae,615477,-,-,Leaf
Pleurotaceae,13836,-,-,Leaf
Plesiotrichopidae,374670,-,-,False
Tetrahymenidae,319309,-,-,False
Boraginaceae,147029,T,ott5261925,Leaf
Stauroneidaceae,402891,-,-,False
Kangiellaceae,7035390,-,-,False
Tricholomataceae,162651,T,ott1012685,Node
Ceratobasidiaceae,234858,-,-,Leaf
Desulfarculaceae,38916,-,-,Leaf
Didymellaceae,3188,T,mrcaott4380ott4381,Leaf
Rhodanobacteraceae,5912938,-,-,False
Placidae,505674,-,-,Leaf
Clostridiales Family XVII. Incertae Sedis,None,-,-,False
Terebellidae,106108,-,-,Leaf
Dasyaceae,855463,-,-,False
Micromonosporaceae,794945,-,-,Leaf
Peridiniaceae,800482,-,-,False
Lessoniaceae,753588,-,-,Leaf
Neodevriesiaceae,5697099,-,-,False
Cyclobacteriaceae,91373,-,-,Leaf
Echinamoebidae,838048,-,-,False
Brachionidae,471705,-,-,Leaf
Marynidae,603367,-,-,False
Phyllostictaceae,5298563,-,-,Leaf
Veneridae,198197,T,mrcaott2556ott6150,Node
Geobacteraceae,726987,T,mrcaott55524ott112770,Leaf
Plagiocampidae,4031436,-,-,Leaf
Plantaginaceae,1041309,-,-,Leaf
Kondoaceae,5260747,-,-,Leaf
Nephtyidae,1072318,-,-,Leaf
Tremellaceae,133074,T,ott183800,Node
Oocystaceae,339001,-,-,Leaf
Verrucomicrobiaceae,508842,-,-,Leaf
Nectriaceae,104185,T,ott971709,Node
Brachytheciaceae,79118,T,mrcaott3217ott11158,Leaf
Intrasporangiaceae,231761,-,-,Leaf
Nitrospinaceae,706687,-,-,Leaf
Schizophyllaceae,8354,-,-,Leaf
Bulleraceae,6382500,-,-,False
Meruliaceae,42234,-,-,Leaf
Uronematidae,912567,-,-,False
Harpacticidae,639300,-,-,Leaf
Enterococcaceae,910233,T,mrcaott1125ott5987,Leaf
Raspailiidae,595805,T,ott588758,Node
Cryptomonadaceae,303538,-,-,False
Planomonadidae,494997,-,-,False
Leucosporidiaceae,898250,-,-,Leaf
Pannariaceae,626527,-,-,Leaf
Gemmatimonadaceae,264370,-,-,Leaf
Granulosicoccaceae,377598,-,-,Leaf
Erwiniaceae,5998854,T,mrcaott103ott9270,Leaf
Auriculariaceae,434121,-,-,Leaf
Chaetomiaceae,137202,-,-,Leaf
Apiosporaceae,425420,-,-,Leaf
Amanitaceae,445863,-,-,Leaf
Rutstroemiaceae,620522,-,-,Leaf
Salpingoecidae,1066307,-,-,Leaf
Ignavibacteriaceae,50759,-,-,Leaf
Surirellaceae,397779,-,-,False
Mucoraceae,167677,-,-,Leaf
Thyridariaceae,5345477,-,-,Leaf
Sneathiellaceae,354000,-,-,Leaf
Cordycipitaceae,419069,T,ott971709,Node
Adinetidae,787513,-,-,Leaf
Euglenaceae,287927,T,mrcaott4961ott4964,Leaf
Crassulaceae,509332,-,-,Leaf
Aphanochaetaceae,1018092,-,-,Leaf
Beijerinckiaceae,377931,-,-,Leaf
Holostichidae,2992,-,-,False
Physalacriaceae,1082072,-,-,Leaf
Leucobryaceae,1023962,T,mrcaott14541ott124912,Leaf
Umbelopsidaceae,5257415,-,-,Leaf
Symbiobacteriaceae,245885,-,-,Leaf
Clavariaceae,729017,-,-,Leaf
Babesiidae,1006159,-,-,False
Staphylococcaceae,949800,-,-,Leaf
Conexibacteraceae,346713,-,-,Leaf
Monodopsidaceae,423011,-,-,False
Gomphaceae,146473,T,ott822495,Leaf
Tontoniidae,880865,-,-,False
Planococcaceae,589416,T,mrcaott3174ott3911,Leaf
Trichodinidae,1013757,-,-,False
Chironomidae,661367,-,-,Leaf
Brucellaceae,828127,-,-,Leaf
Sphaerobacteraceae,282093,-,-,Leaf
Pichiaceae,821913,-,-,Leaf
Glomeraceae,157950,-,-,Leaf
Nocardiaceae,231769,T,mrcaott292ott7821,Node
Coxiellaceae,899058,T,mrcaott719ott162734,Leaf
Strombidiidae,17841,-,-,False
Closteriaceae,897407,-,-,Leaf
Vexilliferidae,753956,-,-,False
Dunaliellaceae,979509,-,-,Leaf
Pseudoalteromonadaceae,462337,-,-,Leaf
Longidoridae,760954,-,-,Leaf
Geminigeraceae,1017388,-,-,False
Pisolithaceae,1033613,-,-,False
Corallinaceae,238997,-,-,Leaf
Chthonomonadaceae,655594,-,-,Leaf
Rivulariaceae,77233,-,-,False
Neisseriaceae,286853,-,-,Leaf
Synchytriaceae,535290,-,-,Leaf
Pyronemataceae,620530,-,-,Leaf
Clavicipitaceae,969668,T,ott971709,Node
Spionidae,912396,-,-,Leaf
Balamuthiidae,509184,-,-,False
Agalmatidae,15312,T,mrcaott15308ott15310,Leaf
Funariaceae,821348,T,mrcaott7813ott86154,Leaf
Cryptosporangiaceae,201800,-,-,Leaf
Melosiraceae,753587,-,-,False
Achnanthidiaceae,573377,-,-,False
Lentimicrobiaceae,5886140,-,-,Leaf
Magnaporthaceae,168443,T,ott971709,Node
Didiniidae,1013763,-,-,False
Golfingiidae,76597,-,-,Leaf
Leptophryidae,7529907,-,-,False
Rubricoccaceae,5886373,-,-,False
Eocronartiaceae,647378,-,-,Leaf
Trigonostomidae,304605,-,-,Leaf
Micropepsaceae,7023621,-,-,Leaf
Thiotrichaceae,193073,T,mrcaott1562ott12573,Node
Catenulaceae,336419,-,-,False
Trachelostylidae,897465,-,-,False
Ardenticatenaceae,5245629,-,-,False
Metopidae,627087,-,-,False
Rubritaleaceae,4015049,-,-,Leaf
Pucciniaceae,809206,-,-,Leaf
Trichocomaceae,22936,T,ott800595,Leaf
Myrmecridiaceae,5982357,-,-,Leaf
Enterobacteriaceae,424023,T,ott844192,Node
Pleosporaceae,699905,-,-,Leaf
Thoracosphaeraceae,4924792,T,mrcaott32008ott32010,Leaf
Condylostomatidae,159782,-,-,False
Tuberaceae,526210,-,-,Leaf
Mastigamoebidae,815958,T,mrcaott902342ott958215,Leaf
Nitrosomonadaceae,728498,-,-,Leaf
Chromobacteriaceae,5580669,-,-,Leaf
Rep1,None,-,-,False
Cyphoderiidae,639619,-,-,Leaf
Bryaceae,548799,-,-,Leaf
