name 	 ottid 	 sources 	 node_id 	 notes
Sebacinaceae	172586	if:81612,ncbi:160909,gbif:3278,irmng:117645	ott172586	
Pholadidae	204583	worms:252,ncbi:52914,gbif:3477,irmng:115668	ott204583	
Rhagionempididae	4524667	gbif:4790516,irmng:105719	ott4524667	
Paradiniidae	5248755	silva:AY449716/#6	ott5248755	
Spelaeodiscidae	2882788	worms:842727,gbif:5783739,irmng:119870	ott2882788	
Acanthonotozomellidae	4674905	worms:176978,ncbi:1732324,gbif:4410	ott4674905	
Mochlozetidae	906385	ncbi:229857,worms:449194,gbif:7454,irmng:105324	ott906385	
Schizoglyphidae	4699826	gbif:4651610,irmng:108748	ott4699826	
Leiosalpingidae	4150099	worms:467906,gbif:5821,irmng:105276	ott4150099	
Hilarimorphidae	189235	ncbi:240887,gbif:5553,irmng:105820	ott555807	
Pangasiidae	701522	ncbi:7999,worms:154648,gbif:9228,irmng:114052	ott701522	
Desmocarididae	565779	worms:240681,ncbi:576290,gbif:4304453,irmng:107456	ott565779	
Mamenchisauridae	4142372	gbif:4967275	ott4142372	
Oribatidae	4683995	gbif:4653212,irmng:115461	ott4683995	
Phenopelopidae	434627	ncbi:198279,worms:449186,gbif:7465,irmng:114966	ott434627	
Paraphronimidae	779480	worms:236594,ncbi:472045,gbif:8008,irmng:109933	ott779480	
Diposthidae	3670690	ncbi:2290861,worms:155644,gbif:6479505,irmng:121453	ott3670690	
Clenchiellidae	667767	worms:722758,ncbi:1345658,gbif:7660447	ott667767	
Nasobatidae	3529430	gbif:4071,irmng:117778	ott3529430	
Cotingidae	1041548	ncbi:9127,gbif:5236,irmng:108904	mrcaott8441ott41222	
Joinvilleaceae	225268	ncbi:4736,gbif:3743,irmng:112903	ott225268	
Chlorangiellaceae	4735203	worms:599716,gbif:8811,irmng:104928,irmng:105102	ott4735203	
Telotylenchidae	1033720	ncbi:211154,gbif:4556124,irmng:115670	ott1033720	
Haplochthoniidae	576589	ncbi:528219,worms:508175,gbif:7432,irmng:108540	ott576589	
Wiesnerellaceae	645362	ncbi:182181,gbif:2258,irmng:107156	ott645362	
Melamphaidae	190715	ncbi:88706,worms:125599,gbif:5906,irmng:116509	ott190715	
Lineidae	971430	ncbi:6222,worms:122314,gbif:6296,irmng:112589	ott971430	
Cadeidae	4945871	ncbi:1329973,gbif:8133154	ott4945871	
Theonoidae	4150466	gbif:4288798,irmng:114694	ott4150466	
Parabrotulidae	3630088	ncbi:1522433,worms:125506,gbif:4221,irmng:105137	ott3630088	
Pergidae	300751	ncbi:32409,gbif:2787,irmng:111209	ott300751	
Arthrosphaeridae	5006917	worms:888817,gbif:6188759	ott5006917	
Melanommataceae	566526	if:80990,ncbi:45307,worms:172258,gbif:8309,irmng:111391	ott566526	
Codobidae	2945044	worms:346009,gbif:4303268,irmng:107354	ott2945044	
Scrupariidae	445218	ncbi:450185,worms:110773,gbif:2761,irmng:104490	ott445218	
Oedipodiaceae	140071	ncbi:127536,gbif:8746,irmng:113760	ott140071	
Heteroscorpionidae	3540334	gbif:5852,irmng:120425	ott3540334	
Endevouridae	4674681	worms:489650,gbif:7984,irmng:106301	ott4674681	
Peltospiridae	787698	worms:180915,ncbi:55007,gbif:4607317,irmng:115570	ott787698	
Polyxenidae	1063011	ncbi:52426,worms:394553,gbif:8244,irmng:114587	ott1063011	
Hemileiidae	3529363	ncbi:1427668,gbif:4058,irmng:118101	ott3529363	
Pristigasteridae	564847	ncbi:260504,worms:267009,gbif:3382,irmng:105121	mrcaott39737ott188692	
Zebinidae	7495147	worms:877987,gbif:8948150	ott7495147	
Valenciniidae	343027	ncbi:326995,worms:122316,gbif:1993,irmng:111257,irmng:110609	ott343027	
Rhabdiasidae	119517	ncbi:174714,worms:834827,gbif:5975,irmng:110513	ott119517	
Katianiridae	3001541	worms:118260,gbif:5370,irmng:106392	ott3001541	
Hastatellidae	4030239	gbif:7445672	ott4030239	
Oedicerotidae	875986	worms:101400,ncbi:181113,gbif:8006,irmng:109893	ott875986	
Kytoditidae	3526430	gbif:6095,irmng:105996	ott3526430	
Carcinomycetaceae	729968	if:82154,ncbi:1905117,gbif:7580,irmng:101184	ott729968	
Proconsulidae	3607918	gbif:4827205,irmng:102023	ott3607918	
Albuneidae	1016530	worms:106735,ncbi:177214,gbif:8020,irmng:108622	ott1016530	
Enoplometopidae	240861	worms:106740,ncbi:288644,gbif:8039,irmng:106302	ott240861	
Brachychaeteumatidae	3516515	ncbi:1569542,worms:888808,gbif:3007,irmng:117302	ott3516515	
Biatriosporaceae	5345472	if:803357,ncbi:1849762,gbif:7482190	ott5345472	
Soritidae	898076	ncbi:46128,worms:111902,gbif:7558448,irmng:114268	ott898076	
Catiniidae	924252	ncbi:1109181,worms:128565,gbif:3255526,irmng:102323,irmng:107348	ott924252	
Cainiaceae	5343026	if:80542,ncbi:1812783,worms:437285,gbif:8436,irmng:106279	ott5343026	
Phallaceae	595719	if:81146,ncbi:90951,worms:426219,gbif:3292,irmng:110063	mrcaott14806ott30573	
Agardhiellidae	7499058	ncbi:2064776,gbif:9588672	ott7499058	
Idiomarinaceae	740996	silva:X92127/#5,ncbi:267893,worms:394047,gbif:8954,irmng:112521	ott740996	
Scissurellidae	264187	worms:1730,ncbi:55030,gbif:2860,irmng:114874	ott264187	
Parakseneuridae	6290366	gbif:8512482	ott6290366	
Melampsoraceae	234869	if:80986,ncbi:5259,gbif:3253,irmng:100806	ott234869	
Ramphastidae	489463	ncbi:57381,gbif:9343,irmng:104755	mrcaott130076ott153261	
Paulowniaceae	488087	study713:76,ncbi:155891,gbif:4896863,irmng:118850	ott488087	
Leucosporidiaceae	898250	if:80001,ncbi:1163720,worms:988541,gbif:3260,irmng:101822	ott898250	
Neoceratiidae	135272	ncbi:412628,worms:154616,gbif:8054,irmng:110367	ott135272	
Ascoideaceae	597951	ncbi:44277,gbif:4135,irmng:110043	ott597951	
Planktonemertidae	2930737	worms:122340,gbif:2085,irmng:110000	ott2930737	
Microascaceae	464774	if:81001,ncbi:5593,worms:100052,gbif:8425,irmng:109357	ott464774	
Lestrigonidae	306631	worms:414835,ncbi:472071,gbif:7998	ott306631	
Mononchidae	79658	ncbi:211390,worms:227133,gbif:6505,irmng:111053	ott79658	
Sclerodistomoididae	3672061	worms:468937,gbif:6483479,irmng:121824	ott3672061	
Lepiceridae	112577	ncbi:110034,gbif:3263306,irmng:119241	ott112577	
Margelopsidae	913882	worms:16357,ncbi:576763,gbif:3987,irmng:108977	ott913882	
Ommastrephidae	1054842	worms:11760,ncbi:6626,gbif:6820,irmng:115565,irmng:111256	ott1054842	
Pteromuridae	4941108	gbif:3240678,irmng:101844	ott4941108	
Selenidioididae	2821942	worms:562677,gbif:8298844,irmng:113334	ott2821942	
Oncocyprididae	2965541	gbif:4807818,irmng:100426	ott2965541	
Kamakidae	4674574	worms:491891,gbif:2780,irmng:107526	ott4674574	
Gasterosteidae	401063	ncbi:69291,worms:125476,gbif:7666,irmng:115661	ott401063	
Urotrematidae	3672145	ncbi:1776233,worms:472838,irmng:115767	ott3672145	
Perkinsidae	551128	silva:AB716689/#5,ncbi:27999,worms:103339,gbif:7380935,irmng:113443	ott551128	
Cibicididae	525819	ncbi:212496,worms:111917,gbif:8016431,irmng:114088	ott525819	
Pandanaceae	928475	ncbi:4724,gbif:3737,irmng:119172	ott928475	
Neoscopelidae	486695	ncbi:88699,worms:125499,gbif:4218,irmng:113897	ott486695	
Pygiopsyllidae	325257	ncbi:140723,gbif:5329,irmng:110660	ott325257	
Histiobalantiidae	289630	ncbi:552359,worms:414825,gbif:7803428,irmng:100129	ott289630	
Temnocephalidae	1011760	ncbi:39243,worms:479209,gbif:2242,irmng:110527	ott1011760	
Cephalothricidae	57430	ncbi:166040,worms:766122,gbif:1997,gbif:7424221,irmng:112349	ott57430	
Metameridae	4923831	worms:562777,gbif:7710801,irmng:114778	ott4923831	
Eriphantidae	3518249	gbif:4078,irmng:110959	ott3518249	
Uroactiniidae	609448	ncbi:122022,gbif:4549704,irmng:106228	ott609448	
Sphaerosepalaceae	287347	ncbi:66676,gbif:3233918,irmng:114312	ott287347	
Wrangeliaceae	372533	ncbi:756396,worms:493877,gbif:5823953,irmng:121675	ott372533	
Sphaerocystidae	6383115	gbif:3235265,irmng:113388	ott6383115	
Macromaxillocarididae	4669183	worms:390905,ncbi:1986580,gbif:4312547,irmng:106201	ott4669183	
Rhachidosoraceae	680691	ncbi:1203515,gbif:7808605	ott680691	
Euglycyphagidae	4700603	gbif:4547374,irmng:109006	ott4700603	
Hemistasiidae	7059746	ncbi:2015512,gbif:10375567	ott7059746	
Hemidictyaceae	680695	ncbi:1203513,gbif:8284157	ott680695	
Diarthrophallidae	793759	ncbi:345244,gbif:3253805,irmng:110017	ott793759	
Lophogastridae	616696	worms:119821,ncbi:116664,gbif:5402,irmng:110172	ott616696	
Protoschizomidae	3519810	ncbi:1957012,gbif:3781,irmng:110086	ott3519810	
Collophoridae	5012086	gbif:3000	ott5012086	
Siphonolaimidae	549471	ncbi:375201,worms:2192,gbif:2568,irmng:111342	ott549471	
Samlidae	7497964	ncbi:2078620,gbif:9485484	ott7497964	
Illiosentidae	251959	ncbi:84391,worms:20360,gbif:3545,irmng:108011	ott251959	
Plectidae	520552	ncbi:114910,worms:227121,gbif:2607,irmng:114353	ott520552	
Coryneliaceae	123362	if:80651,ncbi:152642,worms:988387,gbif:8323,irmng:110405	ott123362	
Enterocytozoonidae	787439	if:90399,ncbi:27970,worms:565084,gbif:7766723,irmng:100179	ott787439	
Terebridae	504423	worms:160424,ncbi:57610,gbif:2685,irmng:114915	ott504423	
Euschmidtiidae	277098	ncbi:219326,gbif:9397,irmng:109626	ott277098	
Turnicidae	810768	ncbi:9246,gbif:9357,irmng:104678	ott810768	
Mathildellidae	4669136	worms:439044,ncbi:1550697,gbif:3254331,irmng:117894	ott4669136	
Anaplasmataceae	904940	silva:L02883/#5,ncbi:942,worms:570970,gbif:4901684,gbif:7819,irmng:104477,irmng:106962,irmng:109742	ott904940	
