name, ottid, sources, flags
Xylorictidae, 4326530, gbif:4687033,irmng:113846, sibling_higher,barren
Heliscomyidae, 3611098, gbif:4828794,irmng:119116, sibling_higher,extinct
Burmacoccidae, 6296862, gbif:8701905, sibling_higher,extinct
Heterolimulidae, 4707967, gbif:4650297,irmng:100952, sibling_higher,extinct,barren
Amotapidae, 2854426, gbif:4593225,irmng:118154, sibling_higher,extinct
Trochiliopsidae, 5663106, gbif:7986278, merged,barren
Neorthroblattinidae, 5020170, gbif:6880233,irmng:120367, sibling_higher,extinct
Opisthonectidae, 184427, ncbi:85901,gbif:8174165,irmng:112846, sibling_higher,merged,barren
Erbinaceae, 5155419, gbif:3234936,irmng:105304, major_rank_conflict,extinct,barren
Pseudosculdidae, 3005027, gbif:4649631,irmng:118804, sibling_higher,extinct,barren
Endothiodontidae, 4126236, gbif:4817841,irmng:116866, unplaced,major_rank_conflict,extinct
Pleurastraceae, 5153724, worms:368881,gbif:6331, sibling_higher,merged,barren
Mixopterygidae, 3614187, gbif:4832024,irmng:119266, sibling_higher,extinct
Rhynchotretradidae, 4969814, gbif:7014071,irmng:102396, sibling_higher,extinct,barren
Liomopteridae, 3509052, gbif:4769946,irmng:101691, extinct
Moravohymenidae, 4665092, gbif:4802299,irmng:119397, extinct
Ammothoidae, 6176068, gbif:8563817, sibling_higher,barren
Palaeodiscaleksidae, 8010117, gbif:9338170, major_rank_conflict,barren
Acadelytridae, 5020212, gbif:6929249,irmng:120124, sibling_higher,extinct
Haplosporiidae, 4022906, worms:562866,gbif:6537612, sibling_higher,inconsistent,barren
Tychtopsychidae, 3429414, gbif:4682664,irmng:119618, extinct
Protocoleidae, 4664047, gbif:4770546,irmng:101911, sibling_higher,extinct
Phanerorhynchidae, 4143089, gbif:4839146,irmng:102846, major_rank_conflict,extinct,barren
Amoebophilaceae, 5586154, ncbi:1501348, merged,barren
Lemmatophoridae, 5020907, gbif:3259597,irmng:112469, extinct
Uphantenidae, 2842913, gbif:4581744,irmng:113794, major_rank_conflict,extinct,barren
Dipriodontidae, 4143976, gbif:4968802, major_rank_conflict,extinct,barren
Scapherpetontidae, 3620677, gbif:4816428,irmng:102835, sibling_higher,extinct
Palaeoamasidae, 3615907, gbif:4832891,irmng:118123, major_rank_conflict,extinct
Cynictidae, 3613348, gbif:4969723, sibling_higher,extinct,barren
Tanzanycterididae, 3614211, gbif:4831798,irmng:119498, sibling_higher,extinct,barren
Odontopleuridae, 5129342, gbif:3267075,irmng:116128, extinct
Cephalaspididae, 4949817, gbif:3240927,irmng:101293, major_rank_conflict,extinct
Ictidorhinidae, 4128894, gbif:4822365,irmng:112297, unplaced,major_rank_conflict,extinct
Plumaleciidae, 7508335, ncbi:2499555,gbif:9805595, merged,barren
Echymyidae, 3609996, gbif:4828687,irmng:116003, sibling_higher,barren
Astrolophidae, 4801882, gbif:4908473,irmng:115688, major_rank_conflict,barren
Cystoblastidae, 3658016, gbif:4871086,irmng:101937, major_rank_conflict,extinct,barren
Vastanidae, 4140523, gbif:6142006, major_rank_conflict
Elleriidae, 4705121, gbif:4806356,irmng:101848, sibling_higher,extinct,barren
Cinetochilidae, 575975, ncbi:692528,worms:172294,gbif:7580507,irmng:115341, sibling_higher,inconsistent,barren
Tribrachididae, 4719659, gbif:4870946,irmng:103874, major_rank_conflict,extinct
Sclerococcomycetidae, 7515534, ncbi:1985650, barren
Rhipaeosauridae, 4128673, gbif:4823685,irmng:118986, unplaced,major_rank_conflict,extinct
Pachyteichismatidae, 2833675, gbif:4980213, major_rank_conflict,extinct,barren
Duyunolepididae, 6138570, gbif:8639552, major_rank_conflict,extinct
Taeniocradaceae, 5154590, gbif:3229202,irmng:105630, major_rank_conflict,extinct
Aleteceratidae, 2872070, gbif:4947270, sibling_higher,extinct,barren
Anoplodesmidae, 7691971, gbif:9332946, sibling_higher,barren
Stelechobatidae, 5128248, gbif:6880261,irmng:120268, sibling_higher,barren
Diplopsaliaceae, 5655315, ncbi:1643534, inconsistent,barren
Plesiorycteropodidae, 4945230, gbif:3240268,irmng:100876, major_rank_conflict,extinct
Embryocolidae, 4744983, gbif:9576240,irmng:105961, unplaced,barren
Parabrontopodidae, 4126650, gbif:4822752,irmng:118140, sibling_higher,extinct
Agassizocrinidae, 3648823, gbif:4873446,irmng:118060, major_rank_conflict,extinct
Chionolasmatidae, 6190532, gbif:8637458, sibling_higher,extinct,barren
Cionellidae, 7498475, worms:816169, sibling_higher,barren
Pseudotaxidae, 4919251, worms:720913,irmng:111808, incertae_sedis_inherited,extinct
Azibiidae, 3607781, gbif:4827460,irmng:118550, sibling_higher,extinct,barren
Gonioglyphioceratidae, 2871582, gbif:4947341, sibling_higher,extinct,barren
Archaeodictyomitridae, 4019677, gbif:4908789,irmng:111949, sibling_higher,extinct
Adjutoridae, 4706094, gbif:4668138,irmng:102372, sibling_higher,extinct,barren
Reginaterreumatidae, 7691611, gbif:9488591, sibling_higher,barren
