,None
Pythium apiculatum,883506
Tumebacillus ginsengisoli,263401
Haslea karadagensis,569634
Hymenobacter sp. 9PNM-21,266656
Filobasidium magnum,947846
Neocamarosporium salicornicola,7514045
Hyphomicrobium hollandicum,648483
Clydaea vesicula,991658
Plationus patulus,937964
Oophila amblystomatis,939246
Hemiasterellidae,152352
Granulosicoccus antarcticus,764049
Sphaerulina musiva,5346435
Desulfuromonas acetoxidans,315556
Desulfovibrio bastinii,641917
Cytophaga sp. Dex80-37,808584
Lewinella lacunae,5615478
Cryptomonas phaseolus,895950
Disematostoma minor,2826094
Cystofilobasidium macerans,706696
Alteromonas sp. Gp-3-7.1,5174817
Bradyrhizobium sp. Shinshu-th2,536005
Dialister succinatiphilus,241228
Dero digitata,870821
Rommelaarsia flavovirens,5980491
Macroventuria anomochaeta,25864
Ehrlichia sp. EHR62,4780928
Antedon sp. MMS-2014,5708011
Spizellomyces punctatus,708156
Jannaschia sp. BB23,494320
Darksidea delta,5713909
Neoceratium fusus,172871
Polaribacter reichenbachii,897153
Sphaerographium tenuirostrum,223062
Desulfovibrio sp. enrichment culture clone AP-FeEnrich16,5164473
Peridinium fusiformis,351520
Euzebya sp.,882308
Pelobacter seleniigenes,263823
Poterioochromonas stipitata,631708
Aeribacillus pallidus,256591
Gymnopus sp. 13 KWH-2016,7523608
Discinisca cf. tenuis,377007
Aphanomyces astaci,1008855
Neoneura rurriventris,3008456
Sediminibacterium sp. Azi25,5615544
Cryptendoxyla hypophloia,499280
Saccharophagus degradans,725853
Didymella rosea,5978023
Alnicola umbrina,76726
Uliginosibacterium sp.,562307
Galactomyces pseudocandidum,899821
Phialemonium sp. 1 AE-2013,5316488
Parmelia barrenoae,863413
Pythium sp. CAL-2011c,4028758
Vibrio splendidus,263183
Chlamydomonas applanata,659312
Helvella crispa,70539
Blepharisma steini,260771
Desmodesmus intermedius,157845
Pleodorina thompsonii,849026
Dendrogramma enigmatica,6138473
Hyaloscypha leuconica,3711542
Phenylobacterium sp. enrichment culture clone LplF-80,None
Tubifex tubifex,639288
Angulomyces argentinensis,4039485
Myxococcus fulvus,939432
Gastrostyla sp. 1 MD-2012,830447
Pyropia kanyakumariensis,4008964
Salibacterium qingdaonense,117070
Anthopsis catenata,4091448
Rhynchogastrema coronatum,4107400
Arcobacter aquimarinus,5236710
Gemmata sp. 28IL,342780
Cosmocladium saxonicum,331824
Roseivirga seohaensis,5993137
Cryptococcus sp. 2 IA06,5683225
Trichosporon sp. 8f,744369
Sporotomaculum syntrophicum,1034039
Magnetovibrio blakemorei,4780524
Mallomonas striata,373306
Rhinocladiella atrovirens,1041480
Trichoderma virens,409099
Pseudocodium floridanum,844121
Chaetopterus cf. longipes JM-2017,7490320
Sphingomonas sp. 44/40,595434
Venturia chlorospora,842118
Oxalobacter sp. W1.09-142,5237128
Chlamydodon mnemosyne,820867
Glomerellales,705320
Limaria pellucida,710606
Macrobiotus hufelandi,998162
Chondrichthyes,278108
Pseudourostyla nova,2822940
Caliciaceae,339438
Lecanicillium psalliotae,557135
Mesophyllum lichenoides,581238
Aggregicoccus sp.,5394659
Pseudo-nitzschia heimii,288575
Scirpoides holoschoenus,91632
Bryopsida,821346
Hormonema sp. BF13,658032
Phoma sp.,197743
Cryptomonas sp. CNUCRY 75,5580281
Mucilaginibacter gracilis,707691
Porpitidae,627423
Opiliones,4428
Robiginitalea sp. CAU 1307,5993306
Syntrophobacterales,623140
Chlamydomonas sp. CCAP 11/151,307490
Pseudocyrtolophosis alpestris,515898
Sebacina sp. UC2022810,5985307
Sphingomonas sp.,683414
Tausonia pullulans,5277206
Lagynion scherffelii,315026
Pseudomonas pohangensis,790409
Limnobacter thiooxidans,565441
[Clostridium] termitidis,None
Paraburkholderia graminis,481277
Rhizophlyctis rosea,810452
Actinomycetospora cinnamomea,10393
Lolium multiflorum,135777
Vagococcus lutrae,675346
Acholeplasma sp. enrichment culture,None
Anisolpidium ectocarpii,5656413
Devriesia sp. BC07-23,5715061
Gemmobacter megaterium,718358
Zopfiella lundqvistii,3695528
Uronema heteromarinum,241251
Zavarzinella formosa,558181
Holospora acuminata,510673
Goniomonas sp. SH-5,375895
Pedobacter boryungensis,571871
Teratosphaeria gauchensis,70421
Postia sp. 1 KUC20130808-38,5984792
Holothuroidea,699706
Virgibacillus zhanjiangensis,146278
Chrysomelidae,567698
Detonula pumila,470946
Psilopezia juruensis,179928
Amphritea japonica,260526
Thermaerobacter sp.,634974
Longidorus elongatus,441130
Azospirillum sp. enrichment culture clone Van11,5169900
Navicula phyllepta,253193
Stephanodiscus minutulus,886901
Papiliotrema flavescens,101341
Geobacter sp. enrichment culture,None
Myzocytiopsis sp. venatrix,516929
Laurencia nipponica,17680
Gastropoda,409995
Ascozonus woolhopensis,588180
Sediminispirochaeta bajacaliforniensis,353613
Preussia antarctica,195997
Caldanaerobacter subterraneus,111152
Alkaliphilus sp. LacV,5365279
Diplasiolejeunea leiocarpa,286181
Myriococcum praecox,3840418
Psychrobacter sp. NB041,1048227
Flavihumibacter cheonanensis,5361961
Cladosporium ramotenellum,890664
Arthrobacter sp. CAB1,250742
Geastrum hungaricum,910598
Roseovarius aquimarinus,272376
Erythrotrichia carnea,280885
Herbaspirillum sp. 3R-12,5237140
Sphingomonas sp. TSK-1,5380560
Flavobacterium sp. NR3b2,659024
Pseudomonas sp. CPE30,738325
Sphingomonas sp. MN 149.3,1002265
Peziza sp. KH-00.020,857806
Olsenella sp. D6,5651982
Ammoniphilus oxalaticus,917557
Aspergillus kawachii,339287
Monoblepharidales,305126
Bothrioneurum vejdovskyanum,1020273
Corallinaceae,238997
Maribacter sp. 1_2014MBL_MicDiv,5886933
Desulfococcus multivorans,165133
Crocinitomicaceae,5886384
Paenibacillus sp. DUSK 64,5894154
Astatumen trinacriae,960819
Phaeosphaeria sp. 20081120,244044
Scleropodium touretii,925534
Malassezia restricta,604329
Protoeuglena noctilucae,5419009
Pythium iwayamai,883079
Uroglena sp. CCMP2768,822557
Cymbopleura naviculiformis,882499
Thalassiosira sp. UNC1417,7559249
Dactylaria dimorphospora,1019693
Chloroflexus islandicus,5604770
Clostridium cadaveris,68312
Blepharipoda occidentalis,1016528
Iamia sp. T2-YC6790,676669
Durinskia kwazulunatalensis,5663582
Lecythophora sp. YP363,364482
Microxysma acutum,22061
Hymenobacter sp. SAFR-033,583065
Mariprofundus ferrinatatus,7039712
Catenulostroma protearum,1092117
Piskurozyma capsuligena,133078
Entoloma alpicola,926799
Bdellovibrio sp. MPA,675203
Acinetobacter junii,989476
Defluviicoccus vanus,269505
Mycale fibrexilis,173161
Jania sp. ARS-2011,149484
Parengyodontium album,44265
Rhizophlyctis harderi,586190
Pseudomonas sp. S11108,5378461
Zymobacter palmae,108695
Volvariella gloiocephala,333126
Thermophagus xiamenensis,608033
Pythium marsipium,477246
Spirosoma soli,5886333
Porticoccaceae,5587897
Cladorhiza corallophila,6374255
Poecilostomatoida,451819
Halomonadaceae,578817
Rigidohymena candens,749621
Ilumatobacter coccineus,4769352
Thecaphora amaranthi,469128
Paramenophia sp. New Caledonia-RJH-2007,879897
Asterionellopsis tropicalis,6388869
Fissidens bryoides,960272
Opitutus sp. WS3(2011),102601
Cryptomonas obovoidea,913710
Anaeromyxobacter sp. Fw109-5,60668
Tanaidacea,42636
Cryptosporidium parvum,775251
Degelia plumbea,583157
Myzocytiopsis osiris,2811373
Modestobacter sp. x4y5,5879762
Veneroida,7492619
Zygonemertes virescens,130104
Dicranales,821363
Acidisphaera sp. L21,5635572
Polynoidae,1067347
Idiomarinaceae,740996
Bacillus foraminis,162407
Thermomonas haemolytica,297437
Oceanobacillus sp.,152720
Phaeosphaeria sp. CPC 11894,5221370
Neochloris sp. AY2,5661915
Vibrio anguillarum,944566
Pseudokeronopsis rubra,944244
Pythium monospermum,753696
Vitreochlamys nekrassovii,921418
Rhodotorula subericola,4095274
Pseudomonas oleovorans,35171
Haptorida,546634
Thinonoma atra,4645682
Myrmecridium spartii,5682587
Jeotgalibacillus campisalis,781127
Ramularia helminthiae,3718852
Diplodia corticola,488127
Pseudoalteromonas sp. BSw20252,542659
Discocephalus ehrenbergi,884745
Peronospora trifolii-hybridi,5400273
Desulfosporomusa polytropa,285240
Pseudovalsaria ferruginea,4054923
Tetragoniomycetaceae,5260755
Thiohalospira halophila,33965
Kentrophoros flavus,1082480
Dechloromonas sp. MissR,734677
Aureimonas sp. AU22,5896814
Klebsormidium sp. SAG 37.86,5923125
Pontibacter sp. AT03-04,5614038
Sinophysis grandis,636636
Sarcosoma mexicanum,283844
Desulfovibrio halophilus,386591
Capitellidae,966425
Isididae,157409
Pseudococcidae,161180
Sphingobacterium sp. TPD04,532447
Megasphaera micronuciformis,1041265
Amynthas longicaeca,7487472
Ossicaulis lachnopus,5686484
Coprinellus verrucispermus,8756
Litostomatea,546633
Amphiprora paludosa,776171
Trematosphaeria sp. HR-2-1,5978974
Chromulinaceae,908565
Ceratobasidium cereale,958815
Uliginosibacterium sp. SS1-76,5997713
Laurencia snackeyi,4012324
Leiomenia cribrosa,786295
Rhinocladiella sp. S1,36911
Zausodes septimus,379155
Ulvophyceae,755481
Nitrospira enrichment culture clone GaII,5160441
Klebsormidium sp. BIOTA 14614.18.24,60711
Pseudo-nitzschia calliantha,303162
Microstroma bacarum,4095348
Chloroflexus sp. WC3-1,494502
Catenulostroma hermanusense,408219
Halocella cellulosilytica,13560
Oceaniovalibus sp. CPA-138,5899846
Lepista nuda,1080645
Tubeufiaceae,1051949
Raphidonema nivale,941092
Actinochloris sp. WJT24VFNP16,945612
Rudaea sp. YC6842,4785596
Vibrio sp. enrichment culture clone DMS02,None
Haliscomenobacter sp. JJ019,553443
Parafabraea eucalypti,321135
Tilletiaria anomala,449875
Hormonema carpetanum,850242
Halistemma rubrum,486585
Paracraurococcus ruber,374392
Tricholomopsis decora,835499
Chlamydomonas peterfii,801328
Spatangoida,531395
Tomentella sp. 15 SGT-2012,147991
Chlorobiaceae,283891
Hydrodictyaceae,425644
Vallitalea pronyensis,5242380
Chrysophyceae,8031327
Magnaporthiopsis agrostidis,5982291
Prorocentrum glenanicum,224051
Permianibacter aggregans,5625421
Curvibacter fontanus,4777999
Mycocentrospora acerina,260936
Kuklikophrya ougandae,876951
Sporacetigenium mesophilum,640395
Coleoptera,865243
Geminigera cryophila,492487
Amycolatopsis plumensis,785420
Tamilnaduibacter salinus,5377810
Anthoxanthum odoratum,188813
Hygroaster nodulisporus,144642
Marinifilum albidiflavum,5886147
Methylobacter luteus,603980
Anaerovorax sp. enrichment culture clone D2CL_Bac_16S_Clone16,None
Phaeosphaeria halima,115748
Rhizophysa filiformis,486579
Synmerosyllis yolandae,332197
Dominikia difficilevidera,5670546
Kockovaella sichuanensis,330869
Roseobacter sp. D4024,837249
Caldicoprobacter oshimai,1083609
Crepidotus sphaerosporus,1065616
Umezawaea endophytica,5643650
Nephroselmidophyceae,1038762
Aspergillus tamarii,955220
Alkaliflexus imshenetskii,443310
Tylopilus porphyrosporus,3835488
Dactylis glomerata,83469
Ilyonectria sp. 2 AC-2011,843782
Halogranum gelatinilyticum,274939
Achromatium minus,257622
Cronobacter sakazakii,935497
Acaulospora brasiliensis,770055
Filobasidium floriforme,133077
Vibrio alginolyticus,232170
Peziza domiciliana,556531
Macrosiphum euphorbiae,362108
Placoneis hambergii,1098604
