,None
Phaeobacter sp. MED618,978750
Tolyposporium,644116
Karenia brevis,93910
Marvania geminata,149092
Ichthyosporea,623671
Roseovarius tolerans,191091
Flavobacterium arsenatis,5383773
Junghuhnia carneola,4099471
Capnodiales,208367
Thauera sp. ZV-1-C,None
Cryptococcus sp. yHKS298,5683255
Spumella,690121
Brachionus calyciflorus,939320
Acanthamoeba sp. KA/E21,4742986
Legionella nagasakiensis,853172
Pseudocalanus moultoni,527428
Angustibacter sp.,882316
Alternaria sp. 1OF210-3,5221425
Phenylobacterium sp.,543911
Pythium grandisporangium,844027
Sphaerobolus stellatus,989764
Pseudoxanthomonas sp. Eza14,5172937
Geastrum smardae,401822
Navicula perminuta,746315
Plocamium fimbriatum,518784
Glycomyces,460194
Mycena rosella,240801
Caddella sp. 1 SG-2014,5511714
Phialocephala fusca,417614
Algoriphagus terrigena,826929
Nitzschia cf. fonticola 2 RT-2009,119375
Filobasidium stepposum,620343
Rhizosphaera,135609
Diaporthe ambigua,855272
Heterocypris,401748
Odontella aurita,1019315
Navicula sp. ETS 07,4024595
Loricifera,199402
Dexiotricha elliptica,2826576
Rhodactis sp. TW018,7506924
Crinipellis zonata,924453
Gracilaria edulis,394747
Parvularcula,193992
Auriculariales,741000
Hyphomicrobium hollandicum,648483
Aglaothamnion sp. ARS-2011,774723
Kondoaceae,5260747
Marinirhabdus citreus,5886959
Peronospora trifolii-minoris,225090
Pycnopeziza,1005981
Meliniomyces bicolor,285117
Geastrum xerophilum,3837339
Thalassotalea sp. HMF2303,5630105
Rhizoscyphus,49276
Reinekea marinisedimentorum,4017927
Candidatus Solibacter usitatus,746305
Clavispora lusitaniae,213939
Bicosoeca kenaiensis,5602945
Paradiscocephalus elongatus,7496
Zale declarans,3200833
Cavenderia deminutiva,875917
Geodermatophilus ruber,187670
Cheyletidae,855916
Chloroflexus aurantiacus,201533
Gaiella,232871
Rhodobacterales,800604
Aglauropsis aeora,117362
Methylovulum,905938
Ramlibacter sp. A15(2011),979902
Tortispora caseinolytica,941832
Rhizoplaca chrysoleuca,740527
Ochromonas danica,898588
Spathidiidae,613621
Effusibacillus consociatus,952512
Rhodanobacter,1075593
Acuticoccus,5996821
Acutodesmus deserticola,947915
Thaumatomonadida,122819
Tetrabaenaceae,1017822
Cellvibrio mixtus,72566
Mawia benovici,5424632
Rhodovastum atsumiense,1059036
Euptilocladia magruderi,750751
Bicosta minor,4925615
Arthrobotrys superba,808919
Mycopappus alni,696406
Podospora intestinacea,948294
Systena sp. nr. lustrans JJG219,1046166
Russula aff. xerampelina r-01018,140506
Nitrosospira sp. REGAU,568912
Massilia,225781
Clostridium sp. r13,660072
Metaurostylopsis salina,619272
Thalassiosira aestivalis,1015035
Kofleriaceae,94318
Chlamydomonas sp. CCAP 11/141,101039
Brachionus plicatilis complex sp. JPNAG054,5974711
Roseibacillus persicicus,978836
Macrotrachela,681212
Aspergillus terreus,104248
Lynchella minuta,7528625
Agaricus aff. campestris PBM 2580,437791
Candidatus Brocadia,991794
Micromonospora nickelidurans,501184
Acaulium acremonium,573017
Strongylidium,311154
Ignavibacteriales,50757
Nocardioides sp. 805,5643857
Verrucocladosporium dirinae,528425
Kwoniella sp.,78419
Lolium multiflorum,135777
Sporosalibacterium,5242429
Philaster,187951
Stereum sanguinolentum,333719
Myzocytiopsis glutinospora,300186
Graesiella emersonii,620737
Neisseria,611812
Haloferula harenae,792258
Spathidium rectitoratum,2824973
Vibrio sp. ACH-24,732632
Candidatus Berkiella cookevillensis,4790689
Aggregata eberthi,361478
Trichoderma sp. 62 BT-2012,178737
Tindallia,246058
Sandaracinus amylolyticus,1014961
Desulfatitalea tepidiphila,4774931
Hemigastrostyla enigmatica,31460
Linyphiidae,19393
Archaeorhizomycetaceae,600871
Chitinimonas sp. HME7960,194421
Rickettsiella sp. 5-186-2,1021163
Lophodermium sp. JBT-2017a,7517161
Aquisalinus sp.,5896796
Flavobacterium orientale,5886852
Dyella nitratireducens,5912734
Magnetococcaceae,1077610
Xylaria castorea,503985
Zymoseptoria,754738
Rhaphoneis,790052
Bougainvillia muscus,45501
Malassezia sp. LCP-2008a,256293
Emticicia aquatilis,5614073
Doriprismatica sp. 1 SBM-2016,7498045
Ponticaulis sp.,243226
Euthora timburtonii,213965
Micrura chlorapardalis,612019
Pseudorhodoferax,549150
Pseudolabrys sp. enrichment culture clone SJC7,None
Neoerysiphe joerstadii,3714973
Candidatus Electrothrix,5904493
Rhynocoris kumarii,769124
Melampsora sp. Mel J,5689219
Anthoxanthum,514147
Bacteroides sp. Tilapia9,216486
Isosphaeraceae,5896423
Hylemonella gracilis,1023978
Physalacriaceae,1082072
Monilinia,559211
Cephalodella gibba,492250
Glycinde armigera,849196
Wilsonosiphonia indica,7059582
Filobasidium wieringae,422129
Chlamydomonas sp. YQJ-1,5257499
Flavisolibacter sp. Gsoil 439,871329
Lipomyces,76013
Acaulospora delicata,510379
Mariniflexile soesokkakense,5159534
Bacteriovorax sp. EPA,101031
Conocybe subpubescens,525735
Clavibacter,487716
Peronospora manshurica,253623
Verrucomicrobiae,479559
Colpodella sp. ATCC 50594,5602563
Rigidoporus corticola,4099138
Gaetbulibacter sp. CAU 1400,7010036
Nakazawaea wickerhamii,668395
Nolandia orientalis,5986560
Sunxiuqinia sp. JNU-J035,39361
Desulfosporomusa polytropa,285240
Coronatae,274733
Pelagostrobilidium,665561
Ureibacillus suwonensis,903843
Algoriphagus,976734
Cyclotella litoralis,716411
Dothideales,406068
Comamonadaceae,1074529
Rhodoplanes tepidamans,905830
Devosia sp. AL42 6.2,332513
Ricasolia amplissima,958702
Thelebolus sp.,723610
Melampsora albertensis,681631
Inocybe baltica,7523161
Kwoniella dendrophila,1010621
Porphyromonas sp. AN 4764,5615595
Aetherobacter rufus,1033086
Blepharisma steini,260771
Neocamarosporium chersinae,7514037
Chlamydomonas applanata,659312
Spiniferodinium galeiforme,80941
Sporisorium scitamineum,1067284
Aneurinibacillus thermoaerophilus,398291
Oxalicibacterium sp. JCN-21,522925
Lyophyllum,5344824
Tiarina fusa,505676
Flavobacterium psychrophilum,629224
