spp_name, ott_id, broken_taxon, mrca_of_descendents, in_synth_tree
Pythium apiculatum,883506,-,-,T
Tumebacillus ginsengisoli,263401,-,-,T
Haslea karadagensis,569634,-,-,T
Hymenobacter sp. 9PNM-21,266656,-,-,T
Filobasidium magnum,947846,-,-,T
Neocamarosporium salicornicola,7514045,-,-,F
Hyphomicrobium hollandicum,648483,-,-,T
Clydaea vesicula,991658,-,-,T
Plationus patulus,937964,-,-,T
Oophila amblystomatis,939246,-,-,T
Hemiasterellidae,152352,T,mrcaott8837ott9778,T
Granulosicoccus antarcticus,764049,-,-,T
Sphaerulina musiva,5346435,-,-,T
Desulfuromonas acetoxidans,315556,-,-,T
Desulfovibrio bastinii,641917,-,-,T
Cytophaga sp. Dex80-37,808584,-,-,T
Lewinella lacunae,5615478,-,-,T
Cryptomonas phaseolus,895950,-,-,T
Disematostoma minor,2826094,-,-,T
Cystofilobasidium macerans,706696,-,-,T
Alteromonas sp. Gp-3-7.1,5174817,-,-,F
Bradyrhizobium sp. Shinshu-th2,536005,-,-,T
Dialister succinatiphilus,241228,-,-,T
Dero digitata,870821,-,-,T
Rommelaarsia flavovirens,5980491,-,-,T
Macroventuria anomochaeta,25864,-,-,T
Ehrlichia sp. EHR62,4780928,-,-,F
Antedon sp. MMS-2014,5708011,-,-,T
Spizellomyces punctatus,708156,-,-,T
Jannaschia sp. BB23,494320,-,-,T
Darksidea delta,5713909,-,-,T
Neoceratium fusus,172871,-,-,T
Polaribacter reichenbachii,897153,-,-,T
Sphaerographium tenuirostrum,223062,-,-,T
Desulfovibrio sp. enrichment culture clone AP-FeEnrich16,5164473,-,-,T
Peridinium fusiformis,351520,-,-,T
Euzebya sp.,882308,-,-,T
Pelobacter seleniigenes,263823,-,-,T
Poterioochromonas stipitata,631708,-,-,T
Aeribacillus pallidus,256591,-,-,T
Gymnopus sp. 13 KWH-2016,7523608,-,-,F
Discinisca cf. tenuis,377007,-,-,T
Aphanomyces astaci,1008855,-,-,T
Neoneura rurriventris,3008456,-,-,F
Sediminibacterium sp. Azi25,5615544,-,-,F
Cryptendoxyla hypophloia,499280,-,-,T
Saccharophagus degradans,725853,-,-,T
Didymella rosea,5978023,-,-,T
Alnicola umbrina,76726,-,-,T
Uliginosibacterium sp.,562307,-,-,T
Galactomyces pseudocandidum,899821,-,-,T
Phialemonium sp. 1 AE-2013,5316488,-,-,F
Parmelia barrenoae,863413,-,-,T
Pythium sp. CAL-2011c,4028758,-,-,F
Vibrio splendidus,263183,-,-,T
Chlamydomonas applanata,659312,-,-,T
Helvella crispa,70539,-,-,T
Blepharisma steini,260771,-,-,T
Desmodesmus intermedius,157845,-,-,T
Pleodorina thompsonii,849026,-,-,T
Dendrogramma enigmatica,6138473,-,-,T
Hyaloscypha leuconica,3711542,-,-,T
Phenylobacterium sp. enrichment culture clone LplF-80,None,-,-,F
Tubifex tubifex,639288,-,-,T
Angulomyces argentinensis,4039485,-,-,T
Myxococcus fulvus,939432,-,-,T
Gastrostyla sp. 1 MD-2012,830447,-,-,F
Pyropia kanyakumariensis,4008964,-,-,T
Salibacterium qingdaonense,117070,-,-,T
Anthopsis catenata,4091448,-,-,T
Rhynchogastrema coronatum,4107400,-,-,T
Arcobacter aquimarinus,5236710,-,-,T
Gemmata sp. 28IL,342780,-,-,T
Cosmocladium saxonicum,331824,-,-,T
Roseivirga seohaensis,5993137,-,-,T
Cryptococcus sp. 2 IA06,5683225,-,-,F
Trichosporon sp. 8f,744369,-,-,F
Sporotomaculum syntrophicum,1034039,-,-,T
Magnetovibrio blakemorei,4780524,-,-,T
Mallomonas striata,373306,-,-,T
Rhinocladiella atrovirens,1041480,-,-,T
Trichoderma virens,409099,-,-,T
Pseudocodium floridanum,844121,-,-,T
Chaetopterus cf. longipes JM-2017,7490320,-,-,T
Sphingomonas sp. 44/40,595434,-,-,F
Venturia chlorospora,842118,-,-,T
Oxalobacter sp. W1.09-142,5237128,-,-,F
Chlamydodon mnemosyne,820867,-,-,F
Glomerellales,705320,T,ott971709,T
Limaria pellucida,710606,-,-,T
Macrobiotus hufelandi,998162,-,-,T
Chondrichthyes,278108,-,-,T
Pseudourostyla nova,2822940,-,-,T
Caliciaceae,339438,-,-,T
Lecanicillium psalliotae,557135,-,-,T
Mesophyllum lichenoides,581238,-,-,T
Aggregicoccus sp.,5394659,-,-,T
Pseudo-nitzschia heimii,288575,-,-,T
Scirpoides holoschoenus,91632,-,-,T
Bryopsida,821346,-,-,T
